rank,name,position,team,games,adp,bye,sos,injury_risk,floor_proj,consensus_proj,ds_proj,ceiling_proj,three_d_value,tier_overall,tier_positional,age,years_in_nfl,value_change
2,Jahmyr Gibbs,RB,DET,17,1.01,6,0.9%,54%,290.4,341,359,412.3,100,1,1,24,3,1.7
1,Puka Nacua,WR,LAR,17,1.04,11,-3.1%,51%,268,326,357,396.7,100,1,1,25,3,1.4
3,Ja'Marr Chase,WR,CIN,17,1.03,6,4%,37%,298.2,302,339,399.8,98,1,1,26,5,3.1
4,Bijan Robinson,RB,ATL,17,1.02,11,-3.2%,25%,294,347,346,404.7,95,1,1,24,3,4.2
6,Jaxon Smith-Njigba,WR,SEA,17,1.06,11,-0.1%,39%,286.7,292,315,374.9,85,2,2,24,3,3.4
7,Amon-Ra St. Brown,WR,DET,17,1.08,6,-1%,37%,287.9,283,316,357.5,83,2,2,26,5,3.1
5,Christian McCaffrey,RB,SF,17,1.05,8,0.7%,78%,274.7,315,331,410.5,89,1,1,30,9,-5.0
8,CeeDee Lamb,WR,DAL,17,1.11,14,-0.7%,44%,262.2,259,301,361.6,77,2,2,27,6,2.4
9,Justin Jefferson,WR,MIN,17,1.12,6,4.9%,36%,248,251,292,379.3,75,2,2,27,6,3.1
11,Ashton Jeanty,RB,LVR,17,1.10,13,-3.1%,39%,254.9,265,293,369.1,69,2,2,22,1,3.7
12,James Cook,RB,BUF,17,1.09,7,-4.2%,36%,255.1,265,293,360.7,68,2,2,26,4,3.4
10,Jonathan Taylor,RB,IND,17,1.07,13,1.7%,37%,254,302,299,364.6,70,2,2,27,6,1.3
13,Drake London,WR,ATL,17,2.05,11,0.4%,73%,254.8,262,277,332.4,64,3,3,25,4,0.4
14,A.J. Brown,WR,NE,17,2.07,11,-2.5%,61%,228.5,249,272,345.4,62,3,3,29,7,0.5
15,Nico Collins,WR,HOU,17,2.12,8,4.4%,49%,240.3,234,270,332.1,60,3,3,27,5,2.4
18,Kenneth Walker III,RB,KC,17,2.06,5,0.6%,34%,225.4,250,268,362.3,58,3,3,25,4,3.4
16,Rashee Rice,WR,KC,17,3.01,5,-2.6%,74%,206.5,232,279,334.8,60,3,3,26,3,0.4
20,George Pickens,WR,DAL,17,2.11,14,-0.7%,36%,232.9,240,262,327.2,56,3,3,25,4,3.1
21,Chase Brown,RB,CIN,17,2.02,6,-4%,45%,226.7,257,267,352.1,56,3,3,26,3,2.7
19,De'Von Achane,RB,MIA,17,2.01,6,0.8%,68%,235,281,270,348.5,57,3,3,24,3,0.7
17,Saquon Barkley,RB,PHI,17,2.04,10,4.4%,35%,232.8,255,268,369.3,59,3,2,29,8,-1.7
23,Josh Allen,QB,BUF,17,3.04,7,-3.4%,33%,306.9,363,379,439.5,54,3,1,30,8,3.1
25,Trey McBride,TE,ARI,17,2.10,14,-3.6%,46%,235.7,246,253,304.2,52,3,1,26,4,2.8
22,Brock Bowers,TE,LVR,17,2.08,13,-1%,81%,235.9,234,259,313.7,54,3,1,23,2,-0.1
24,Omarion Hampton,RB,LAC,17,2.03,7,0.6%,73%,221.3,246,254,361.1,53,3,3,23,1,0.9
27,Malik Nabers,WR,NYG,16,3.05,8,3.7%,39%,189.4,196,243,347.2,49,4,4,23,2,3.7
28,Zay Flowers,WR,BAL,17,3.11,13,-0.3%,36%,224.8,218,253,295.6,48,4,4,25,3,3.4
29,Jeremiyah Love,RB,ARI,17,3.02,14,0.1%,34%,216.2,249,243,354.7,47,4,3,21,0,4.0
26,Derrick Henry,RB,BAL,17,2.09,13,-0.1%,33%,223.1,257,262,333.3,51,3,3,32,10,-2.5
33,Garrett Wilson,WR,NYJ,17,4.04,13,-1%,38%,219.2,228,244,299.6,45,4,4,26,4,3.3
31,DeVonta Smith,WR,PHI,17,3.09,10,6.6%,50%,222.7,228,242,305,45,4,4,27,5,2.5
30,Chris Olave,WR,NO,17,3.03,8,0.9%,75%,216.5,236,252,299.6,47,4,4,26,4,0.3
