rank,name,position,team,games,adp,bye,sos,injury_risk,floor_proj,consensus_proj,ds_proj,ceiling_proj,three_d_value,tier_overall,tier_positional,age,years_in_nfl,nfl_draft_round
1,Jahmyr Gibbs,RB,DET,17,1.01,6,0.9%,54%,290.4,341,359,412.3,100,1,1,24,3,1
2,Puka Nacua,WR,LAR,17,1.04,11,-3.1%,51%,268,326,357,396.7,99,1,1,25,3,5
3,Ja'Marr Chase,WR,CIN,17,1.03,6,4%,37%,298.2,302,339,399.8,97,1,1,26,5,1
4,Bijan Robinson,RB,ATL,17,1.02,11,-3.2%,25%,294,347,346,404.7,95,1,1,24,3,1
5,Christian McCaffrey,RB,SF,17,1.05,8,0.7%,78%,274.7,315,331,410.5,90,1,1,30,9,1
6,Jaxon Smith-Njigba,WR,SEA,17,1.06,11,-0.1%,39%,286.7,292,315,374.9,84,2,2,24,3,1
7,Amon-Ra St. Brown,WR,DET,17,1.08,6,-1%,37%,287.9,283,316,357.5,82,2,2,26,5,4
8,CeeDee Lamb,WR,DAL,17,1.11,14,-0.7%,44%,262.2,259,301,361.6,75,2,2,27,6,1
9,Justin Jefferson,WR,MIN,17,1.12,6,4.9%,36%,248,251,292,379.3,74,2,2,27,6,5
10,Jonathan Taylor,RB,IND,17,1.07,13,1.7%,37%,254,302,299,364.6,71,2,2,27,6,2
11,James Cook,RB,BUF,17,1.09,7,-4.2%,36%,255.1,265,293,363.6,69,2,2,26,4,2
12,Drake London,WR,ATL,17,2.06,11,0.4%,73%,254.8,262,277,332.4,63,3,3,25,4,1
13,Kenneth Walker III,RB,KC,17,2.05,5,0.6%,34%,231.5,250,279,362.6,62,3,2,25,4,2
14,A.J. Brown,WR,NE,17,2.07,11,-2.5%,61%,228.5,249,272,345.4,61,3,3,29,7,2
15,Saquon Barkley,RB,PHI,17,2.03,10,4.4%,35%,232.8,255,268,366.6,59,3,2,29,8,1
16,Nico Collins,WR,HOU,17,2.11,8,4.4%,49%,235.9,234,271,330.8,59,3,3,27,5,3
17,De'Von Achane,RB,MIA,17,2.01,6,0.8%,68%,235,281,270,348.5,57,3,3,24,3,3
18,Chase Brown,RB,CIN,17,2.02,6,-4%,45%,226.7,257,267,354.8,57,3,3,26,3,5
19,Rashee Rice,WR,KC,17,3.04,5,-2.6%,74%,209.4,232,269,332.9,56,3,3,26,3,2
20,George Pickens,WR,DAL,17,2.12,14,-0.7%,36%,232.9,240,262,329.8,55,3,3,25,4,2
21,Omarion Hampton,RB,LAC,17,2.04,7,0.6%,73%,221.3,246,254,361.1,53,3,3,23,1,1
22,Brock Bowers,TE,LVR,17,2.09,13,-1%,81%,236.5,234,260,311.9,53,3,1,23,2,1
23,Josh Allen,QB,BUF,17,3.02,7,-3.4%,33%,306.9,363,379,439.5,52,3,1,30,8,1
24,Derrick Henry,RB,BAL,17,2.08,13,-0.1%,33%,223.1,257,262,333.3,52,3,3,32,10,2
25,Trey McBride,TE,ARI,17,2.10,14,-3.6%,46%,235.7,246,253,304.2,50,3,1,26,4,2
26,Chris Olave,WR,NO,17,3.01,8,0.9%,75%,215.4,236,256,307.7,49,4,4,26,4,1
27,Malik Nabers,WR,NYG,16,3.03,8,3.7%,39%,189.4,196,243,347.2,48,4,4,23,2,1
28,Zay Flowers,WR,BAL,17,3.10,13,-0.3%,36%,224.8,218,253,295.6,47,4,4,25,3,1
29,Jeremiyah Love,RB,ARI,17,3.05,14,0.1%,34%,210.9,249,240,347.6,46,4,4,21,0,1
30,DeVonta Smith,WR,PHI,17,3.09,10,6.6%,50%,222.7,228,242,305,45,4,4,27,5,1
31,Breece Hall,RB,NYJ,17,3.08,13,-2.5%,43%,212.4,233,250,317.4,44,4,4,25,4,2
32,Tee Higgins,WR,CIN,17,4.02,6,4%,66%,217,219,244,302.3,44,4,4,27,6,2
33,Garrett Wilson,WR,NYJ,17,4.04,13,-1%,38%,219.2,228,244,299.6,44,4,4,26,4,1
34,Colston Loveland,TE,CHI,17,4.06,10,-3.6%,60%,197.4,223,241,288.9,43,4,2,22,1,1
35,Josh Jacobs,RB,GB,17,3.11,11,-2.2%,67%,188.1,241,254,315.1,43,4,4,28,7,1
36,Jaylen Waddle,WR,DEN,17,4.08,10,-2.5%,37%,199.4,201,235,300.3,39,4,4,27,5,1
37,Javonte Williams,RB,DAL,17,3.07,14,2.9%,43%,209.1,225,240,305.3,39,4,4,26,5,2
38,Travis Etienne,RB,NO,17,4.03,8,1.8%,45%,207.1,214,228,316.4,37,4,4,27,5,1
